captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-09,global,Global,top_shorts_songs_weekly,,1,https://yt3.googleusercontent.com/bAXbiot5nuCC-KOXzYNADnANNQHcgo2Ay9ZFjLji3964_DzoHPdP9X5vp2_quN51jeoXbd7WR-pi_Vii=w180-h180-l90-rj,PASSO BEM SOLTO (Slowed) ATLXS,,,,PASSO BEM SOLTO (Slowed) ATLXS
2026-08-09,global,Global,top_shorts_songs_weekly,,2,https://yt3.googleusercontent.com/moXpr_lvHpb9m70jTjr-0GE63_VyHivgmyH7UPBJmgwWPHwwmvhxDPPZtdAhCFo7CdzmzIGwBE3cn4VuCQ=w180-h180-l90-rj,Dai Dai Shakira & 伯納男孩,,,,Dai Dai Shakira & 伯納男孩
2026-08-09,global,Global,top_shorts_songs_weekly,,3,https://yt3.googleusercontent.com/qziwPDf687hi8YbgMsj6ZejyYGyz2IjiDspt20Em2j9EHkVe1EzbVwHYKUZgq6NAt-Y4ykWqe4tBwJh4=w180-h180-l90-rj,Headlights (feat. KIDDO) Alok & 艾倫·沃克,,,,Headlights (feat. KIDDO) Alok & 艾倫·沃克
2026-08-09,global,Global,top_shorts_songs_weekly,,4,https://yt3.googleusercontent.com/F-HAYdu4My91_BPlrGhfflbiXHOshQN2AoyC253W5Tm2ebs6Nh7CgdoVzPlYK7nLMpX_JKOYg_h0SyyN_g=w180-h180-l90-rj,1 misery. pupsies,3 4 <10K,"3月 18, 2026",,"4 1 misery. pupsies 3月 18, 2026 3 4 <10K"
2026-08-09,global,Global,top_shorts_songs_weekly,,5,https://yt3.googleusercontent.com/qOgEcdAyumI9jcqu_Du3YVq_b6w3yoPzGPFnCPN_zjw8k0FH_a1vNmEhRgGyaiQDKBDRej5XzblASUo=w180-h180-l90-rj,Haaland (Ha Ha Ha) CTID,,,,Haaland (Ha Ha Ha) CTID
2026-08-09,global,Global,top_shorts_songs_weekly,,6,https://yt3.googleusercontent.com/pc4L4fZ3obMdnUDwE1Lg02mycMDrkI_JYHAfu_DDMYGgXAiKUkiwpxwwTEEO3Y_hP_rEowX7PGs_We-P=w180-h180-l90-rj,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG,,,,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG
2026-08-09,global,Global,top_shorts_songs_weekly,,7,https://yt3.googleusercontent.com/5wrXABswITS0D-gtrVabluk-ZegDBLlhVX3T_5Ar5ykV1z_FNQ5gapX9_IJMrs0Gkge1F0sErE1YObUk=w180-h180-l90-rj,"LET ME DRIVE FUNK DJ VRK , DJ TUUV & ahh",,,,"LET ME DRIVE FUNK DJ VRK , DJ TUUV & ahh"
2026-08-09,global,Global,top_shorts_songs_weekly,,8,https://yt3.googleusercontent.com/pxZ41R8jrSjVtI3W9wCDRA6T7KOVnPHH0k1H_qktx78W8X__rn4IVqu_1ePUhLvrohB9JBWgrOXl7P9epA=w180-h180-l90-rj,MMG (My Mine Gueh) Naykilla,,,,MMG (My Mine Gueh) Naykilla
2026-08-09,global,Global,top_shorts_songs_weekly,,9,https://yt3.googleusercontent.com/TMgZufdPnl4AtmFki2yV1LjEKeKf-iqZI6rhP-fhr6-sxiKqE9OHI8BQ4TgCVi8iuWs6LwxyQ1UjrLn5=w180-h180-l90-rj,Sua amiga eu vou pegar MC Lan & MC WM,,,,Sua amiga eu vou pegar MC Lan & MC WM
2026-08-09,global,Global,top_shorts_songs_weekly,,10,https://yt3.googleusercontent.com/fdbZYOuRg6rU2h00L8kabk-7o6QqV258Gl00mtW4mO6DnWjQBPEbF-GIDTeeYkEJV1IpVY88HRMg_bk=w180-h180-l90-rj,FREAKED OUT Fat Papi & prodshushy,,,,FREAKED OUT Fat Papi & prodshushy
