captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,1,https://yt3.googleusercontent.com/lr-XPQDj8YAxye-NKa4z1HKsJXZ1qEGnclEUXGCq8kPDJ1AzxxbEGWDZ7v3kTzHv4ZBDMlUXMiLvVJKX=w180-h180-l90-rj,我真的特別愛你 (月薪喵名曲),DJ李頡,,,我真的特别爱你 (月薪喵名曲) DJ李颉
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,2,https://yt3.googleusercontent.com/htuL98enzACGXEUEGEGoDwzfk-mqWSoLVDGLzOV79ESgU9odHqZ5694X2-BNwfnptfXDBJ4znMXpQ0w=w180-h180-l90-rj,แม่ทรงซ้อพ่อทรงเอ (feat. หนูหรี่ Nuree),Perfume Option,,,แม่ทรงซ้อพ่อทรงเอ (feat. หนูหรี่ Nuree) Perfume Option
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,3,https://yt3.googleusercontent.com/Ytq5eEjjVLq4xtIdLejUppYoQK-ZQN1OBhBEpzDlxi7lfwaehnqFymkF_m7i3LYTb4V3CTvREHsoYkI=w180-h180-l90-rj,น้องสิเลี้ยงขนม,ฮันนี่ นิชาดา,,,น้องสิเลี้ยงขนม ฮันนี่ นิชาดา
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,4,https://yt3.googleusercontent.com/9A6wYNOWfiAz6kpDj_bGIbhnBk1hV8HchUy7rdePoRON96AILSPTQv_wovjM2cr_Ccs7-TeshcbKUzlKJQ=w180-h180-l90-rj,บังอร,SPRITE,"6月 30, 2021",<10K,"4 1 บังอร SPRITE 6月 30, 2021 3 89 <10K"
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,5,https://yt3.googleusercontent.com/pPy2cA5K-sItr6lpGjUjJhmiumwBnB8dB4NSmiraU2w96TXY3_1rwLSSUNLEb9E0zWtgU3YYYhII8aOB=w180-h180-l90-rj,ย้าย่ายะ,อูโน่ หลาวทอง,,,ย้าย่ายะ อูโน่ หลาวทอง
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,6,https://yt3.googleusercontent.com/hd8pHY_yg4GAk1M7JcnsPXX-TehngLovDvyJusD4kiRvTTyi8K5pH87hm3SWNqNWCo5mnBABvWopLFw=w180-h180-l90-rj,Baddie (feat. Justmine JMNK),IRONBOY,,,Baddie (feat. Justmine JMNK) IRONBOY
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,7,https://yt3.googleusercontent.com/_Ed5_gs3FVu3q-c8dFM9MQ0d6btMia9TSstH3C6gA-aMl7za7UhBZHE-NtWaOnBFg9bn9cLfZ4_tHqjrbg=w180-h180-l90-rj,สกุชชี่,พาย คอนเฟลก / เพ้นท์ คอนเน่,,,สกุชชี่ พาย คอนเฟลก & เพ้นท์ คอนเน่
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,8,https://yt3.googleusercontent.com/mM-rL9pzqqLgb7unsOHbzodHTN3qaWjAQh8bOg9Z_sJxOEtPftkCG5bpdjVmnNEqP48I2Bkkf8I5b4nUag=w180-h180-l90-rj,Big Boom,DJ.ILHAM,,,Big Boom DJ.ILHAM
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,9,https://yt3.googleusercontent.com/pc4L4fZ3obMdnUDwE1Lg02mycMDrkI_JYHAfu_DDMYGgXAiKUkiwpxwwTEEO3Y_hP_rEowX7PGs_We-P=w180-h180-l90-rj,GUT GENUG (feat. Blumengarten & 希琳·大衛),KITSCHKRIEG,,,GUT GENUG (feat. Blumengarten & 希琳·大衛) KITSCHKRIEG
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,10,https://yt3.googleusercontent.com/Ivmg4h9GQwB-3NnXQTgdfaWDrKX_FRS7bfuAqpGshORew2zukqixvvDHzwr0CEJhXAklTiSVhwy5vLR-=w180-h180-l90-rj,DMMA,JUSTMINENIKA,,,DMMA JUSTMINENIKA
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,11,https://yt3.googleusercontent.com/F-HAYdu4My91_BPlrGhfflbiXHOshQN2AoyC253W5Tm2ebs6Nh7CgdoVzPlYK7nLMpX_JKOYg_h0SyyN_g=w180-h180-l90-rj,misery.,pupsies,"3月 18, 2026",<10K,"11 4 misery. pupsies 3月 18, 2026 15 11 <10K"
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,12,https://yt3.googleusercontent.com/-j2v67OXQSXjQk3s9dBzWJHk7SH281gT5QIMx4-h6JPA0DnZO5ZKwLF92rQBeDvQR9KipTbTOIUT1FEw=w180-h180-l90-rj,CALL THE DOCTOR,PISSGOBLIN / DEV / The Cataracs,,,"CALL THE DOCTOR PISSGOBLIN , DEV & The Cataracs"
2026-08-31,th,Thailand,top_shorts_songs_daily,20260723,13,https://yt3.googleusercontent.com/WDvLZwQ7IQc0m8RTHz63Um0I5N2tnuDFW4OXfRwOKgU1j7_QdE0i68eMHVqAy8fXA4gBHS9JddsCfNIo-g=w180-h180-l90-rj,อาจดูร้ายเกินไปในบางที,MAN'R,,,อาจดูร้ายเกินไปในบางที MAN'R
